#LIBRARY    JENDL-5
#REACTION   CR-50(N,G)CR-51,SIG
#NUCLEUS    Cr-50
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 1.82902090e+04 0.003641 Lin-Lin
 1.83085996e+04 0.003767 Lin-Lin
 1.83280020e+04 0.003927 Lin-Lin
 1.83422793e+04 0.004066 Lin-Lin
 1.83560098e+04 0.004222 Lin-Lin
 1.83697383e+04 0.004402 Lin-Lin
 1.83837051e+04 0.004618 Lin-Lin
 1.83930938e+04 0.004785 Lin-Lin
 1.84024844e+04 0.004974 Lin-Lin
 1.84118730e+04 0.005187 Lin-Lin
 1.84199902e+04 0.005394 Lin-Lin
 1.84281074e+04 0.005627 Lin-Lin
 1.84362246e+04 0.005891 Lin-Lin
 1.84443418e+04 0.006189 Lin-Lin
 1.84527363e+04 0.006540 Lin-Lin
 1.84590332e+04 0.006837 Lin-Lin
 1.84653281e+04 0.007170 Lin-Lin
 1.84716250e+04 0.007542 Lin-Lin
 1.84779219e+04 0.007962 Lin-Lin
 1.84829883e+04 0.008338 Lin-Lin
 1.84880547e+04 0.008754 Lin-Lin
 1.84931211e+04 0.009217 Lin-Lin
 1.84981875e+04 0.009733 Lin-Lin
 1.85032539e+04 0.010312 Lin-Lin
 1.85074648e+04 0.010847 Lin-Lin
 1.85125137e+04 0.011565 Lin-Lin
 1.85162988e+04 0.012165 Lin-Lin
 1.85200859e+04 0.012828 Lin-Lin
 1.85238711e+04 0.013561 Lin-Lin
 1.85271641e+04 0.014264 Lin-Lin
 1.85312266e+04 0.015228 Lin-Lin
 1.85342734e+04 0.016031 Lin-Lin
 1.85373223e+04 0.016913 Lin-Lin
 1.85403691e+04 0.017883 Lin-Lin
 1.85430723e+04 0.018829 Lin-Lin
 1.85464453e+04 0.020137 Lin-Lin
 1.85489766e+04 0.021225 Lin-Lin
 1.85515078e+04 0.022417 Lin-Lin
 1.85540391e+04 0.023726 Lin-Lin
 1.85563027e+04 0.025010 Lin-Lin
 1.85591445e+04 0.026793 Lin-Lin
 1.85612754e+04 0.028273 Lin-Lin
 1.85634062e+04 0.029894 Lin-Lin
 1.85655371e+04 0.031672 Lin-Lin
 1.85675234e+04 0.033492 Lin-Lin
 1.85694375e+04 0.035413 Lin-Lin
 1.85713535e+04 0.037519 Lin-Lin
 1.85732676e+04 0.039835 Lin-Lin
 1.85751816e+04 0.042389 Lin-Lin
 1.85764590e+04 0.044241 Lin-Lin
